feature,importance
numeric__amount,0.2590553390421761
numeric__customer_age_days,0.2517044796352105
numeric__transaction_hour,0.20149268601484213
numeric__previous_chargebacks,0.04930006491083607
categorical__is_new_merchant_True,0.03332627460977698
categorical__is_foreign_transaction_True,0.024875705010713803
categorical__is_foreign_transaction_False,0.02441405221388367
categorical__merchant_category_grocery,0.022784014535805374
categorical__is_new_merchant_False,0.02130655175868804
categorical__merchant_category_restaurant,0.018907980199542276
categorical__merchant_category_transport,0.01778168424672349
categorical__merchant_category_electronics,0.017640901365972888
categorical__merchant_category_jewelry,0.01681098529653295
categorical__merchant_category_pharmacy,0.015227208649391994
categorical__merchant_category_travel,0.013054780015239487
categorical__merchant_category_gaming,0.012317292494664329
